Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Deanna,NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,,,,,
CECI,NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,,,,,
Chefinho,NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,Netflix Netflix ChromeOS L3 Laptop/Desktop,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,
Lourenço,NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,Netflix Netflix ChromeOS L3 Laptop/Desktop,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,,,,,
Juliana,NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,Netflix Netflix ChromeOS L3 Laptop/Desktop,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,,,,,
Deanna,NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,Netflix Netflix ChromeOS L3 Laptop/Desktop,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,,,,,
CECI,NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,Netflix Netflix ChromeOS L3 Laptop/Desktop,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,2022-04-20T19:34:16.279Z,2022-04-20T19:34:31.528Z,,,,,
CECI,NFAPPL-02-IPHONE6=2-524BBBE6FB636E3A03BC6D236CE1B978AF04C7157E33DC7067C7CF3E2A0A32DE,iPhone 5S CDMA,2022-03-13T19:37:04.220Z,2022-08-20T08:24:36.030Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,
Juliana,LGTV20182=21001272364,LG 2018 LG M16PP UHD TV Smart TV,2019-04-27T19:58:13.918Z,2022-09-15T17:42:56.008Z,2019-07-30T12:48:57.479Z,2022-09-15T17:42:56.008Z,2022-02-27T16:59:33.583Z,2022-02-27T19:09:06.019Z,2022-02-27T16:59:33.583Z,2022-02-27T17:18:46.937Z,
Deanna,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-8158-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,
Deanna,NFANDROID2-PRV-2K18FHDATV-TCL==UNIONTV-8204-F291F94AC1DA55A7CF72B07A8F2FF7A447AAC002FB0D4881186BAAE3DC455B79,TCL 2K18 FHD UnionTV Smart TV,2020-08-19T22:14:10.121Z,2022-07-17T01:47:34.659Z,2020-09-27T18:46:47.672Z,2022-07-17T01:47:34.659Z,2021-02-08T00:48:25.056Z,2022-02-13T02:01:29.542Z,2021-02-08T00:48:25.056Z,2022-01-08T15:20:36.004Z,
Chefinho,NFANDROID1-PRV-P-L3-MOTORXT1058-4470-0BF36B2EF0C104BB95E8F7B8AA84FB16C2899D2540C558A61ABD6E35405CD265D,Android DefaultWidevineL3Phone Android Phone,2021-01-01T00:31:02.316Z,2022-02-02T22:46:41.022Z,2021-01-01T00:31:02.316Z,2022-02-02T22:46:41.022Z,2021-01-01T00:31:02.316Z,2022-02-02T22:46:41.022Z,2021-01-01T00:31:02.316Z,2022-02-02T22:46:41.022Z,
Chefinho,SSTV-X101-120228-0004079245-0068,Samsung 2012 Mstar X10 Smart TV,2020-10-11T16:40:06.292Z,2022-01-29T16:17:05.727Z,2020-10-11T16:40:06.292Z,2022-01-29T16:17:05.727Z,2020-10-11T16:40:06.292Z,2022-01-29T16:17:05.727Z,2020-10-11T16:40:06.292Z,2022-01-29T16:17:05.727Z,
Chefinho,NFCDIE-03-HY65QGULL201G6VW00489GRU2MY4FY,Edge OSS - Windows (Cadmium),2022-01-15T18:48:51.382Z,2022-01-29T14:10:01.057Z,2022-01-15T18:48:51.382Z,2022-01-29T13:32:23.455Z,2022-01-15T18:48:51.382Z,2022-01-29T14:10:01.057Z,2022-01-15T18:48:51.382Z,2022-01-29T13:32:23.455Z,
Chefinho,NFCDCH-02-HY66UAVQEC068AY6LG3AFAA8UC2PW9,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFCDCH-02-HY66MTCLU3PUH23EAQ7KCQ4MJ7V172,Chrome PC (Cadmium),2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,2022-01-15T19:04:48.990Z,
Chefinho,NFCDCH-02-HY65F2U2G3J2FYK0NLANC587JMLDGJ,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-PRV-P-L3-MOTORXT1058-4445-0BF36B2EF0C104BB95E8F7B8AA84FB16C2899D2540C558A61ABD6E35405CD265D,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Juliana,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-8158-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,,,,,
