Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Chefinho,BR,Android Phone,0,eyes of evil,The Old Guard,select,title_results,2021-12-20 08:15:39
Chefinho,BR,Android Phone,0,eyes of evil,,select,title_results,2021-12-20 08:15:24
Chefinho,BR,Android Phone,0,my octopus,My Octopus Teacher,select,title_results,2021-12-20 08:13:21
Chefinho,BR,Android Phone,0,sons,Dragons: Rescue Riders: Secrets of the Songwing,select,title_results,2021-12-20 08:12:57
Chefinho,BR,Android Phone,0,sons,,add,title_results,2021-12-20 08:12:33
Chefinho,BR,Android Phone,0,sons,,select,title_results,2021-12-20 08:12:32
Chefinho,BR,Android Phone,0,sons,The Unforgivable,add,title_results,2021-12-20 08:12:26
Chefinho,BR,Android Phone,0,sons,The Unforgivable,select,title_results,2021-12-20 08:12:25
Chefinho,BR,Android Phone,0,sons,,add,title_results,2021-12-20 08:11:45
Chefinho,BR,Android Phone,0,sons,,select,title_results,2021-12-20 08:11:32
Chefinho,BR,Android Phone,0,house of secrets,,add,title_results,2021-12-20 08:09:36
Chefinho,BR,Android Phone,0,house of secrets,,select,title_results,2021-12-20 08:09:35
Chefinho,BR,Android Phone,0,house of secrets,,add,title_results,2021-12-20 08:08:41
Chefinho,BR,Android Phone,0,house of secrets,,select,title_results,2021-12-20 08:08:40
Chefinho,BR,Android Phone,0,evil genius,Amanda Knox,add,title_results,2021-12-20 08:07:37
Chefinho,BR,Android Phone,0,evil genius,Amanda Knox,select,title_results,2021-12-20 08:07:35
Chefinho,BR,Android Phone,0,evil genius,,add,title_results,2021-12-20 08:07:29
Chefinho,BR,Android Phone,0,evil genius,,select,title_results,2021-12-20 08:07:18
Chefinho,BR,Android Phone,0,evil genius,,add,title_results,2021-12-20 08:07:08
Chefinho,BR,Android Phone,0,evil genius,,select,title_results,2021-12-20 08:07:06
Chefinho,BR,Android Phone,0,evil genius,If Anything Happens I Love You,select,title_results,2021-12-20 08:06:52
Chefinho,BR,Android Phone,0,evil genius,,add,title_results,2021-12-20 08:06:35
Chefinho,BR,Android Phone,0,evil genius,,select,title_results,2021-12-20 08:06:24
Chefinho,BR,Android Phone,0,evil genius,,add,title_results,2021-12-20 08:06:05
Chefinho,BR,Android Phone,0,evil genius,,select,title_results,2021-12-20 08:06:04
Chefinho,BR,Android Phone,0,evil genius,Abducted in Plain Sight,add,title_results,2021-12-20 08:05:58
Chefinho,BR,Android Phone,0,evil genius,Abducted in Plain Sight,select,title_results,2021-12-20 08:05:56
Chefinho,BR,Android Phone,0,evil,,add,title_results,2021-12-20 08:05:05
Chefinho,BR,Android Phone,0,evil,,select,title_results,2021-12-20 08:05:04
Chefinho,BR,Android Phone,0,last days,The Last Days,add,title_results,2021-12-20 08:03:56
Chefinho,BR,Android Phone,0,last days,The Last Days,select,title_results,2021-12-20 08:03:01
Chefinho,BR,Android Phone,0,dear zachary,,select,title_results,2021-12-20 07:48:27
Chefinho,BR,Android Phone,0,dear zachary,Amanda Knox,select,title_results,2021-12-20 07:48:04
Chefinho,BR,Android Phone,0,crime scene,Inside Man,select,title_results,2021-12-20 07:43:04
Chefinho,BR,Android Phone,0,crime scene,,select,title_results,2021-12-20 07:42:16
Chefinho,BR,Android Phone,0,crime scene,Lost Girls,select,title_results,2021-12-20 07:42:01
Chefinho,BR,Android Phone,0,crime scene,The Shallows,select,title_results,2021-12-20 07:41:45
Chefinho,BR,Android Phone,0,crime scene,,select,title_results,2021-12-20 07:41:06
Chefinho,BR,Android Phone,0,crime sce,,select,title_results,2021-12-20 07:40:23
Chefinho,BR,Android Phone,0,crime sce,The Unforgivable,select,title_results,2021-12-20 07:37:55
Chefinho,BR,Android Phone,0,crime sce,Abducted in Plain Sight,select,title_results,2021-12-20 07:36:54
Chefinho,BR,Android Phone,0,crime sce,,select,title_results,2021-12-20 07:36:03
Chefinho,BR,Android Phone,0,crime sce,,select,title_results,2021-12-20 07:35:30
Chefinho,BR,Android Phone,0,evil,,select,title_results,2021-12-20 07:34:44
Chefinho,BR,iPhone,0,clint,Directors: Clint Eastwood,select,suggestion_results,2021-11-27 18:07:42
Chefinho,BR,iPhone,0,the good the bad and the ugly,Sad Hill Unearthed,select,title_results,2021-11-27 18:06:10
Chefinho,BR,iPhone,0,elvira,Elvira I Will Give You My Life but I'm Using It,select,title_results,2021-11-05 15:52:22
Chefinho,BR,iPhone,0,elvira,,select,title_results,2021-11-05 15:52:00
Chefinho,BR,iPhone,0,elvira,The Ballad of Buster Scruggs,select,title_results,2021-11-05 15:51:26
Chefinho,BR,iPhone,0,elvira,The Mask of Zorro,select,title_results,2021-11-05 15:51:03
Chefinho,BR,iPhone,0,elvira,"Elvira, Mistress of the Dark",select,suggestion_results,2021-10-29 00:19:50
Chefinho,BR,iPhone,0,hitke,,select,title_results,2021-10-12 20:34:16
Chefinho,BR,Smart TV,0,os,,play,title_results,2021-09-10 23:11:09
Chefinho,BR,Smart TV,0,os,,select,title_results,2021-09-10 23:11:05
Chefinho,BR,iPhone,0,oscar,,select,title_results,2021-09-10 22:43:57
Chefinho,BR,iPhone,0,apoll,Apollo 13,select,title_results,2021-08-20 00:31:53
Chefinho,BR,iPad,0,tumulo dos vagalumes,My Neighbor Totoro,select,title_results,2021-07-04 15:46:22
Chefinho,BR,Smart TV,0,american hi,American History X,select,suggestion_results,2021-07-03 15:33:42
Chefinho,BR,Smart TV,0,sain,Saint Maud,select,suggestion_results,2021-07-03 15:32:29
Chefinho,BR,Smart TV,0,quo,"Quo vadis, Aida?",select,suggestion_results,2021-07-03 15:31:19
Chefinho,BR,HTML 5,0,american history x,American History X,select,suggestion_results,2021-06-29 15:09:43
Chefinho,BR,HTML 5,0,promising young woman,Promising Young Woman,select,suggestion_results,2021-06-29 14:39:01
Chefinho,BR,HTML 5,0,grave of the fireflies,Grave of the Fireflies,select,suggestion_results,2021-06-29 14:29:26
