Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,Allied_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:26:11,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2459,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2641,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3818,""mediaOffsetMs"":150}]"
Chefinho,Season 6 Inciting Incident Clip: Peaky Blinders,FireTV 4K Stick 2018,2022-09-03 12:26:10,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2305,""mediaOffsetMs"":0}]"
Chefinho,RRR_hook_02_16x9,FireTV 4K Stick 2018,2022-09-03 12:26:06,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3060,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3250,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5030,""mediaOffsetMs"":88}]"
Chefinho,Flight_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:52,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2186,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14751,""mediaOffsetMs"":12435},{""eventType"":""stopped"",""sessionOffsetMs"":16987,""mediaOffsetMs"":12493}]"
Chefinho,Manifest: Season 1_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:49,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3138,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3318,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4514,""mediaOffsetMs"":129}]"
Chefinho,Season 1 Moment of High Emotion Clip: The Sandman,FireTV 4K Stick 2018,2022-09-03 12:25:46,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2374,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2430,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4348,""mediaOffsetMs"":11}]"
Chefinho,Never Look Away_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:42,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2496,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4147,""mediaOffsetMs"":1702},{""eventType"":""stopped"",""sessionOffsetMs"":6372,""mediaOffsetMs"":1378}]"
Chefinho,Plot Clip: Love in the Villa,FireTV 4K Stick 2018,2022-09-03 12:25:40,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2392,""mediaOffsetMs"":0}]"
Chefinho,Supporting Character Clip: I Came By,FireTV 4K Stick 2018,2022-09-03 12:25:27,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2714,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":13151,""mediaOffsetMs"":10194},{""eventType"":""stopped"",""sessionOffsetMs"":15395,""mediaOffsetMs"":10283}]"
Chefinho,Primal Fear_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:19,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2409,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8230,""mediaOffsetMs"":5580},{""eventType"":""stopped"",""sessionOffsetMs"":10443,""mediaOffsetMs"":5590}]"
